Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","New Food Balances","100","India","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","1324517.25","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2501","Population","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","1338676.78","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2501","Population","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5511","Production","2511","Wheat and products","2016","2016","1000 tonnes","92317","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2511","Wheat and products","2016","2016","1000 tonnes","1935","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2511","Wheat and products","2016","2016","1000 tonnes","699","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2511","Wheat and products","2016","2016","1000 tonnes","90201","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2511","Wheat and products","2016","2016","1000 tonnes","2055","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2511","Wheat and products","2016","2016","1000 tonnes","80108","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2016","2016","kg","60.48","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2511","Wheat and products","2016","2016","kcal/capita/day","516","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2016","2016","g/capita/day","15.07","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2016","2016","g/capita/day","2.39","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","98535","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2511","Wheat and products","2017","2017","1000 tonnes","5367","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2511","Wheat and products","2017","2017","1000 tonnes","675","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2511","Wheat and products","2017","2017","1000 tonnes","97944","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2511","Wheat and products","2017","2017","1000 tonnes","6008","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2511","Wheat and products","2017","2017","1000 tonnes","82877","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2017","2017","kg","61.91","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2511","Wheat and products","2017","2017","kcal/capita/day","528","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2017","2017","g/capita/day","15.43","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2017","2017","g/capita/day","2.44","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2805","Rice and products","2016","2016","1000 tonnes","163700","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2805","Rice and products","2016","2016","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2805","Rice and products","2016","2016","1000 tonnes","14801","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2805","Rice and products","2016","2016","1000 tonnes","149060","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2805","Rice and products","2016","2016","1000 tonnes","141","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2805","Rice and products","2016","2016","1000 tonnes","136550","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2016","2016","kg","103.09","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2805","Rice and products","2016","2016","kcal/capita/day","711","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2805","Rice and products","2016","2016","g/capita/day","13.36","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2805","Rice and products","2016","2016","g/capita/day","1.58","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","168500","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2805","Rice and products","2017","2017","1000 tonnes","3","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2805","Rice and products","2017","2017","1000 tonnes","18088","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2805","Rice and products","2017","2017","1000 tonnes","150954","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2805","Rice and products","2017","2017","1000 tonnes","157","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2805","Rice and products","2017","2017","1000 tonnes","138171","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2017","2017","kg","103.21","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2805","Rice and products","2017","2017","kcal/capita/day","701","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2805","Rice and products","2017","2017","g/capita/day","13.18","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2805","Rice and products","2017","2017","g/capita/day","1.56","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2513","Barley and products","2016","2016","1000 tonnes","1440","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2513","Barley and products","2016","2016","1000 tonnes","159","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2513","Barley and products","2016","2016","1000 tonnes","19","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2513","Barley and products","2016","2016","1000 tonnes","1548","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2513","Barley and products","2016","2016","1000 tonnes","180","S","Standardized data",""
