State,County,PCT_REDUCED_LUNCH10,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS10,FOODINSEC_10_12,PCT_OBESE_CHILD11,PCT_LACCESS_POP10,PCT_LACCESS_CHILD10,PCT_LACCESS_SENIORS10,PCT_LOCLFARM07,FMRKT13,PCT_FMRKT_SNAP13,PCT_FMRKT_WIC13,FMRKT_FRVEG13,PCT_FRMKT_FRVEG13,PCT_FRMKT_ANMLPROD13,FOODHUB12,FARM_TO_SCHOOL,SODATAX_STORES11,GROC12,SNAPS12,WICS12,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,POVRATE10,CHILDPOVRATE10,SNAP_PART_RATE10
AL,Autauga,6.886106624,11.8,30.5,17.9,13.5,33.7696573,8.837111779,4.376377982,6,1,0,0,1,100,0,0,0,4,4,37.41666667,5,77.246156,17.582599,2.400542,0.855766,11.995382,26.777959,11.9,17.5,79
AL,Baldwin,5.542339783,11.8,26.6,17.9,13.3,19.3184726,4.34319915,3.513570133,7,4,0,0,2,50,75,0,0,4,26,138.3333333,27,83.504787,9.308425,4.384824,0.735193,16.771185,22.987408,13.3,20.2,79
AL,Barbour,4.582140068,14.2,37.3,17.9,18.6,20.84097171,3.425062194,2.805166443,2.9,3,0,0,0,0,0,0,0,4,5,34.83333333,7,46.753105,46.69119,5.051535,0.3897,14.236807,21.906982,25.3,36.2,79
AL,Bibb,9.253986333,11.1,34.3,17.9,13.7,4.559752683,1.087518013,0.657007739,5.7,1,0,0,0,0,0,0,0,4,5,16.25,5,75.020729,21.924504,1.771765,0.096007,12.68165,22.696923,20.9,28.6,79
AL,Blount,8.097946592,14,30.4,17.9,18.5,2.700840095,0.671490191,0.340269096,5.9,1,0,100,1,100,100,0,0,4,8,38,6,88.887338,1.26304,8.0702,0.200621,14.722096,24.608353,16.5,24.1,79
AL,Bullock,0.126662445,17.5,42.1,17.9,17.6,37.47465226,5.56256064,5.079604368,4.7,1,0,0,0,0,0,0,0,4,2,14.33333333,2,21.916804,69.974345,7.119296,0.183251,13.459776,22.264981,31.1,40.3,79
AL,Butler,7.244655582,16,38.3,17.9,14.4,6.243470213,1.264267328,1.217140537,2.2,2,0,0,1,50,0,0,0,4,3,27.25,4,54.060247,43.189956,0.911825,0.830668,16.656323,24.137108,28.1,39.6,79
AL,Calhoun,7.096843461,13.9,33.2,17.9,13.1,26.06108574,5.869756019,4.195726759,4.8,3,33,0,2,66.66666667,33.33333333,0,0,4,26,137.9166667,19,73.613501,20.390143,3.283237,0.699997,14.328847,22.877239,23.5,31.5,79
AL,Chambers,5.7365294,15,35.4,17.9,11.7,19.72296719,4.476623344,3.421906963,4.5,1,0,0,1,100,0,0,0,4,8,34.25,6,58.141166,38.597107,1.566564,0.485167,16.676896,22.513517,28.5,43.5,79
AL,Cherokee,9.629992649,13.6,31.4,17.9,15.4,0.305553252,0.066666847,0.03548555,3.5,1,0,0,0,0,0,0,0,4,4,31,6,92.07357,4.640425,1.23129,0.188541,17.896033,21.416753,21.2,33.1,79
